run_id,sample_size,treated_group_size,accepted
run_20260503T210619Z_cc5b1c,71315,51866.0,True
run_20260503T212429Z_da86cc,61139,49736.0,True
run_20260503T214203Z_f794d5,50772,38982.0,True
run_20260503T220322Z_897c82,29108,17318.0,True
run_20260503T222955Z_7b1303,97094,75919.0,True
run_20260503T224915Z_b4b8a2,72768,55317.0,True
run_20260503T231301Z_46da93,77416,58246.0,True
run_20260503T233003Z_66ddb7,95803,65177.0,True
run_20260503T234919Z_f8f41f,72619,53170.0,True
run_20260504T000638Z_d8958e,79835,60386.0,True
run_20260504T002309Z_830db6,75667,51509.0,True
run_20260504T004912Z_b2a9bc,85704,52456.0,True
run_20260504T010607Z_f02f41,70703,56518.0,True
run_20260504T012336Z_a6148c,68854,52422.0,True
run_20260504T013902Z_3f357a,29479,17506.0,True
run_20260504T015424Z_a8baa6,73394,51866.0,True
run_20260504T021437Z_fc4116,108757,90623.0,True
run_20260504T023517Z_c39e6f,73237,52040.0,True
run_20260504T030127Z_eee035,72950,56518.0,True
run_20260504T031711Z_5f92d4,81895,61452.0,True
run_20260504T202007Z_557131,335213,87139.0,True
run_20260504T204138Z_f9eb7f,275061,169320.0,True
run_20260504T210531Z_6cf9dc,74276,52748.0,True
run_20260504T211315Z_9be391,148196,31935.0,True
run_20260504T212839Z_df16ca,145524,84783.0,True
run_20260504T214441Z_b55111,174179,118852.0,True
run_20260504T215739Z_33afa3,113871,95737.0,True
run_20260504T221415Z_2e0997,226063,44636.0,True
run_20260504T223610Z_a4c22d,214931,77055.0,True
run_20260504T225217Z_3c3024,235741,84747.0,True
run_20260504T231845Z_a1ad89,106035,75919.0,True
run_20260504T233358Z_59dbca,107625,77055.0,True
run_20260504T235725Z_e0ac3b,107625,77055.0,True
run_20260505T001911Z_d86f39,45877,31935.0,True
run_20260505T004136Z_e9a11c,86821,36075.0,True
run_20260505T005104Z_15ea95,86821,36075.0,True
run_20260505T010535Z_99d5b0,361444,81146.0,True
run_20260505T012647Z_1bbfd2,101471,68822.0,True
run_20260505T014553Z_87dc0a,237034,,False
run_20260505T020415Z_766344,107888,77791.0,True
run_20260505T022409Z_ae97b4,85751,67884.0,True
run_20260505T024641Z_6df1d2,299359,99009.0,True
run_20260505T030308Z_aad389,68245,50378.0,True
run_20260505T032749Z_1963d9,82264,33099.0,True
run_20260505T034225Z_5b3a39,331076,67160.0,True
run_20260505T035237Z_3344ab,316984,71318.0,True
run_20260505T040434Z_2b769b,148848,32377.0,True
run_20260505T042413Z_0ce4ac,355188,80300.0,True
run_20260505T044203Z_85af0c,29033,12872.0,True
run_20260505T045901Z_5d5e09,29108,17318.0,True
run_20260505T051928Z_cf4a84,389763,90501.0,True
run_20260505T053452Z_ff2973,18066,14159.0,True
run_20260505T054848Z_f6aee7,80043,36075.0,True
run_20260505T060755Z_f5c7f3,126214,80248.0,True
run_20260505T062414Z_673d2b,111754,31922.0,True
run_20260505T063715Z_876964,23553,13387.0,True
run_20260505T071106Z_b3286b,103096,33561.0,True
run_20260505T072545Z_698e88,355188,81508.0,True
run_20260505T074154Z_e7cee0,141045,105219.0,True
run_20260505T075442Z_dc5da4,227320,81508.0,True
run_20260506T151435Z_422d74,217186,64745.0,True
run_20260506T153130Z_cdb38e,88831,13262.0,True
run_20260506T160954Z_f194da,43079,43079.0,True
run_20260506T165947Z_3bf823,253361,141519.0,True
run_20260506T171710Z_249dd7,2318,171.0,True
run_20260506T173026Z_290641,331450,108130.0,True
run_20260506T180310Z_15d692,158161,62168.0,True
run_20260506T191103Z_4f2060,145132,36269.0,True
run_20260506T193744Z_c86e96,40714,40714.0,True
run_20260506T195230Z_73db27,517669,,False
run_20260506T200459Z_14488e,41726,37860.0,True
run_20260506T202404Z_c52d2f,410746,101892.0,True
run_20260506T210337Z_da4951,60744,,False
run_20260506T213339Z_fd5899,430024,102340.0,True
run_20260506T215831Z_848fc3,222689,1982.0,True
run_20260506T221940Z_7a0c97,446209,155658.0,True
run_20260506T224431Z_8c2988,214462,100.0,True
run_20260506T230149Z_250c41,212030,50181.0,True
run_20260506T232752Z_4463d6,241791,71061.0,True
run_20260506T234025Z_93e4fa,234,,False
run_20260506T235402Z_035da6,57840,41194.0,True
run_20260507T001255Z_de6983,43016,41349.0,True
run_20260507T004951Z_564969,606977,212629.0,True
run_20260507T005840Z_a72ce2,59540,42046.0,True
run_20260507T011457Z_db9f56,241661,43678.0,True
run_20260507T013134Z_60f0f2,241791,61565.0,True
run_20260507T015434Z_51432a,80126,77038.0,True
run_20260507T021301Z_e5c93a,22460,,False
run_20260507T031524Z_322a07,241791,64745.0,True
run_20260507T032534Z_fb609e,213475,61565.0,True
run_20260507T033600Z_52564f,55783,37411.0,True
run_20260507T034943Z_f23ae8,38279,36646.0,True
run_20260507T041304Z_9430ea,301772,105396.0,True
run_20260507T043123Z_bc2400,178604,68862.0,True
run_20260507T044459Z_5e80c3,230678,205836.0,True
run_20260507T051645Z_087add,236025,56556.0,True
run_20260507T052756Z_848423,33851424,159391.0,True
run_20260507T214725Z_6a6276,12101,7717.0,True
run_20260507T221824Z_82f7b7,52701,23863.0,True
run_20260507T223218Z_45102b,52701,23863.0,True
run_20260507T224809Z_88a814,134802,69434.0,True
run_20260507T230232Z_c7998b,126401,94242.0,True
run_20260507T231631Z_e534c2,126401,94242.0,True
run_20260507T233604Z_1d9c8f,341332,73202.0,True
run_20260508T001409Z_c0b67d,43987,30978.0,True
run_20260508T004655Z_838d79,125096,92937.0,True
run_20260508T010815Z_88a430,1764,,False
run_20260508T013014Z_e05644,112109,94242.0,True
run_20260508T014857Z_0fa75a,112933,77819.0,True
run_20260508T020806Z_699aeb,349728,81508.0,True
run_20260508T022836Z_279e1b,197776,77055.0,True
run_20260508T024829Z_1b2421,44926,31922.0,True
run_20260508T030855Z_0a46b1,234414,68300.0,True
run_20260508T033326Z_7ab9e3,80043,36075.0,True
run_20260508T035817Z_24de0a,148196,31935.0,True
run_20260512T142620Z_0b4fce,112355,68272.0,True
run_20260512T145300Z_e306c2,355188,81508.0,True
run_20260512T151432Z_30bccb,136415,75979.0,True
run_20260512T155855Z_862177,148196,31935.0,True
run_20260512T162748Z_d97f83,163605,90623.0,True
run_20260512T165453Z_c32ba8,41339,26591.0,True
run_20260512T171927Z_90560f,103755,65495.0,True
run_20260512T175427Z_9ce0bb,227320,81508.0,True
run_20260512T181941Z_e6166c,636722,,False
run_20260512T184531Z_bba9ce,47238,33561.0,True
run_20260512T192135Z_fa077c,165079,84783.0,True
run_20260512T195649Z_6fe9f8,468301,84783.0,True
run_20260512T202814Z_f0f05b,36208,31189.0,True
run_20260512T205543Z_e8f98c,438473,72631.0,True
run_20260512T212806Z_be0886,132497,36879.0,True
run_20260512T214623Z_bd588d,293402,67020.0,True
run_20260512T222400Z_15c9ce,211555,51600.0,True
run_20260512T225304Z_2ce7aa,148196,31935.0,True
run_20260512T232311Z_df32a2,29108,17318.0,True
run_20260515T121759Z_c3a686,44161,26294.0,True
run_20260515T124457Z_a65aa6,231490,75919.0,True
run_20260515T130450Z_b47da2,250966,99616.0,True
run_20260519T150013Z_86f425,322914,95737.0,True
run_20260519T151749Z_b876e8,245387,81508.0,True
run_20260519T154246Z_a123c7,262473,73159.0,True
run_20260519T160813Z_93af19,56773,39486.0,True
