statename,state_fips,CensusRegion,year,DRIVERSLICENSES,INSTATETUITION,STATEFINANCIALAID,HIGHEREDBAN,EVERIFY,LIMITEVERIFY,OMNIBUS,TASK287G,JAIL287G,SECURECOMMUNITIES,LFPR,UNEMP
Alabama,01,South,2006,0,0,0,0,0,0,0,2,0,0,61.6083333333333,4
Alabama,01,South,2007,0,0,0,0,0,0,0,2,0,0,61.2833333333333,4.04166666666667
Alabama,01,South,2008,0,0,0,0,0,0,0,2,0,0,60.6166666666667,5.88333333333333
Alabama,01,South,2009,0,0,0,0,0,0,0,2,0,0,59.5666666666667,10.0833333333333
Alabama,01,South,2010,0,0,0,0,0,0,0,2,0,0,59.5083333333334,10.375
Alabama,01,South,2011,0,0,0,1,2,0,1,2,0,1,59.1166666666667,9.58333333333333
Alabama,01,South,2012,0,0,0,1,2,0,1,0,0,1,58.1666666666667,8.15833333333333
Alabama,01,South,2013,0,0,0,1,2,0,1,0,0,1,57.725,7.325
Alabama,01,South,2014,0,0,0,1,2,0,1,0,0,1,57.225,6.73333333333333
Alabama,01,South,2015,0,0,0,1,2,0,1,0,0,0,56.65,6.125
Alabama,01,South,2016,0,0,0,1,2,0,1,0,0,0,56.4916666666667,5.90833333333333
Alaska,02,West,2006,0,0,0,0,0,0,0,0,0,0,71.1666666666667,6.63333333333333
Alaska,02,West,2007,0,0,0,0,0,0,0,0,0,0,70.625,6.25833333333333
Alaska,02,West,2008,0,0,0,0,0,0,0,0,0,0,70.8416666666667,6.475
Alaska,02,West,2009,0,0,0,0,0,0,0,0,0,0,70.2416666666667,7.98333333333333
Alaska,02,West,2010,0,0,0,0,0,0,0,0,0,0,69.7416666666667,8.13333333333333
Alaska,02,West,2011,0,0,0,0,0,0,0,0,0,0,68.9416666666667,7.73333333333333
Alaska,02,West,2012,0,0,0,0,0,0,0,0,0,1,68.075,7.25
Alaska,02,West,2013,0,0,0,0,0,0,0,0,0,1,67.5333333333333,6.99166666666667
Alaska,02,West,2014,0,0,0,0,0,0,0,0,0,1,67.4166666666667,6.74166666666667
Alaska,02,West,2015,0,0,0,0,0,0,0,0,0,0,66.7583333333333,6.275
Alaska,02,West,2016,0,0,0,0,0,0,0,0,0,0,66.25,6.6
Arizona,04,West,2006,0,0,0,0,0,0,0,2,2,0,64.15,4.30833333333333
Arizona,04,West,2007,0,0,0,0,2,0,0,2,2,0,63.4166666666667,3.75
Arizona,04,West,2008,0,0,0,0,2,0,0,2,2,1,63.5833333333333,5.79166666666667
Arizona,04,West,2009,0,0,0,0,2,0,0,2,2,1,63.2166666666667,9.66666666666667
Arizona,04,West,2010,0,0,0,0,2,0,1,2,2,1,63.2333333333333,10.3
Arizona,04,West,2011,0,0,0,0,2,0,1,2,2,1,61.9666666666667,9.43333333333333
Arizona,04,West,2012,0,0,0,0,2,0,1,0,2,1,61.0166666666667,8.35
Arizona,04,West,2013,0,0,0,0,2,0,1,0,2,1,60.2666666666667,7.81666666666667
Arizona,04,West,2014,0,0,0,0,2,0,1,0,2,1,60.225,6.79166666666667
Arizona,04,West,2015,0,0,0,0,2,0,1,0,2,0,60.3583333333333,6.075
Arizona,04,West,2016,0,0,0,0,2,0,1,0,2,0,60.4083333333333,5.48333333333333
Arkansas,05,South,2006,0,0,0,0,0,0,0,0,0,0,62.8416666666667,5.25
Arkansas,05,South,2007,0,0,0,0,0,0,0,1,1,0,62.3583333333334,5.39166666666667
Arkansas,05,South,2008,0,0,0,0,0,0,0,1,1,0,62.1166666666667,5.44166666666667
Arkansas,05,South,2009,0,0,0,0,0,0,0,1,1,0,61.4083333333333,7.725
Arkansas,05,South,2010,0,0,0,0,0,0,0,1,1,1,60.6416666666667,7.85833333333333
Arkansas,05,South,2011,0,0,0,0,0,0,0,1,1,1,60.225,7.90833333333333
Arkansas,05,South,2012,0,0,0,0,0,0,0,1,1,1,59.55,7.26666666666667
Arkansas,05,South,2013,0,0,0,0,0,0,0,0,1,1,58.4916666666667,7.04166666666667
Arkansas,05,South,2014,0,0,0,0,0,0,0,0,1,1,58.0583333333334,5.9
Arkansas,05,South,2015,0,0,0,0,0,0,0,0,1,0,58.2583333333334,4.95
Arkansas,05,South,2016,0,0,0,0,0,0,0,0,1,0,58.125,3.98333333333333
California,06,West,2006,0,1,0,0,0,0,0,0,1,0,65.3833333333333,4.91666666666667
California,06,West,2007,0,1,0,0,0,0,0,0,1,0,65.6666666666667,5.30833333333333
California,06,West,2008,0,1,0,0,0,0,0,0,1,0,65.8583333333333,7.3
California,06,West,2009,0,1,0,0,0,0,0,0,1,1,65.525,11.5416666666667
California,06,West,2010,0,1,0,0,0,0,0,0,1,1,64.375,12.4583333333333
California,06,West,2011,0,1,1,0,0,1,0,0,1,1,63.575,11.8916666666667
California,06,West,2012,0,1,1,0,0,1,0,0,1,1,63.1,10.525
California,06,West,2013,1,1,1,0,0,1,0,0,1,1,62.675,9.03333333333333
California,06,West,2014,1,1,1,0,0,1,0,0,1,1,62.3333333333333,7.56666666666667
California,06,West,2015,1,1,1,0,0,1,0,0,1,0,62.1583333333333,6.225
California,06,West,2016,1,1,1,0,0,1,0,0,1,0,62.1916666666667,5.51666666666667
Colorado,08,West,2006,0,0,0,0,1,0,0,0,0,0,72.9166666666667,4.275
Colorado,08,West,2007,0,0,0,0,1,0,0,2,0,0,72.8,3.7
Colorado,08,West,2008,0,0,0,0,1,0,0,2,0,0,72.6,4.875
